ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
0000b9115cdf1e54,xclick,/m/050k8,1,0.095703,0.707031,0.497396,0.949219,0,0,0,0,0,0.469727,0.707031,0.095703,0.347656,0.949219,0.673177,0.610677,0.497396
00016982f6086d39,xclick,/m/050k8,1,0.0,0.997222,0.0,0.998438,0,1,0,0,0,0.377778,0.522222,0.997222,0.0,0.998438,0.0,0.528125,0.414062
0002a1a755d730ca,xclick,/m/050k8,1,0.178125,0.409375,0.339583,0.695833,1,0,0,0,0,0.3125,0.33125,0.178125,0.409375,0.339583,0.695833,0.65,0.366667
000384bb6da4764b,xclick,/m/050k8,1,0.695545,0.985148,0.434375,0.80375,0,0,0,0,0,0.809406,0.985148,0.854785,0.695545,0.434375,0.47375,0.80375,0.74875
0005829bfcf77ca3,xclick,/m/050k8,1,0.611875,0.699375,0.585458,0.787535,1,0,0,0,0,0.699375,0.62125,0.691875,0.611875,0.585458,0.596789,0.726157,0.787535
000a1a700c0c7950,xclick,/m/050k8,1,0.165179,0.8375,0.0675,0.924375,0,0,0,0,0,0.825,0.8375,0.166964,0.165179,0.0675,0.9225,0.924375,0.0725
000ad20b5e452b24,xclick,/m/050k8,1,0.0,0.603125,0.192188,0.917188,0,1,0,0,0,0.170313,0.340625,0.603125,0.0,0.192188,0.917188,0.642188,0.446875
000ad20b5e452b24,xclick,/m/050k8,1,0.407813,0.998438,0.134375,0.91875,1,1,0,0,0,0.679688,0.798438,0.407813,0.998438,0.134375,0.91875,0.289062,0.701562
000e85ca05dc7061,activemil,/m/050k8,1,0.0,0.995833,0.0,0.990625,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
000f78a66fd29c49,activemil,/m/050k8,1,0.015625,1.0,0.0,0.935417,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
000f9ebbd5fc3745,xclick,/m/050k8,1,0.190625,0.889063,0.056604,0.96934,0,0,0,0,0,0.482812,0.889063,0.353125,0.190625,0.056604,0.662736,0.96934,0.099057
